minimum_bytes,average_bytes,maximum_bytes,normalization,input_bytes,seed,complete_chunks,complete_bytes,final_tail_bytes,observed_mean_bytes,analytical_mean_bytes,analytical_model,lower_inclusive,upper_exclusive,observed_count,observed_probability,analytical_probability
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,16384,20480,776,0.0579277396238,0.060587385138
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,20480,24576,792,0.0591221260078,0.0569165539002
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,24576,28672,703,0.0524783517468,0.0534681287283
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,28672,32768,669,0.0499402806808,0.0502286346204
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,32768,36864,659,0.0491937891908,0.0471854129897
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,36864,40960,582,0.0434458047178,0.0443265722
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,40960,45056,555,0.0414302776948,0.0416409410983
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,45056,49152,509,0.0379964168408,0.0391180253624
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,49152,53248,501,0.0373992236489,0.036747966494
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,53248,57344,494,0.0368766796059,0.034521503295
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,57344,61440,434,0.0323977306659,0.0324299356793
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,61440,65536,402,0.0300089578979,0.0304650906763
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,65536,69632,379,0.0282920274709,0.0286192904942
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,69632,73728,407,0.0303822036429,0.0268853225187
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,73728,77824,300,0.0223947446999,0.0252564111287
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,77824,81920,343,0.0256046581069,0.0237261912204
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,81920,86016,307,0.0229172887429,0.0222886833351
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,86016,90112,257,0.0191848312929,0.0209382702936
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,90112,94208,251,0.0187369363989,0.0196696752472
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,94208,98304,267,0.0199313227829,0.0184779410575
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,98304,102400,224,0.0167214093759,0.0173584109261
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,102400,106496,214,0.0159749178859,0.0163067101979
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,106496,110592,201,0.0150044789489,0.0153187292668
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,110592,114688,188,0.0140340400119,0.0143906075169
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,114688,118784,204,0.0152284263959,0.0135187182369
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,118784,122880,146,0.010898775754,0.0126996544485
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,122880,126976,150,0.01119737235,0.0119302155933
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,126976,131072,153,0.011421319797,0.0112073950264
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,131072,135168,148,0.011048074052,0.0105283682675
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,135168,139264,135,0.010077635115,0.00989048196444
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,139264,143360,119,0.00888324873096,0.00929124352446
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,143360,147456,113,0.00843535383697,0.00872831137463
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,147456,151552,125,0.00933114362496,0.00819948581177
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,151552,155648,97,0.00724096745297,0.00770270040696
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,155648,159744,102,0.00761421319797,0.0072360139308
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,159744,163840,84,0.00627052851597,0.00679760276791
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,163840,167936,97,0.00724096745297,0.00638575379099
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,167936,172032,93,0.00694237085697,0.00599885766666
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,172032,176128,81,0.00604658106898,0.00563540256682
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,176128,180224,61,0.00455359808898,0.0052939682611
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,180224,184320,61,0.00455359808898,0.00497322056716
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,184320,188416,72,0.00537473872798,0.00467190613728
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,188416,192512,57,0.00425500149298,0.00438884756081
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,192512,196608,54,0.00403105404598,0.00412293876333
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,196608,200704,51,0.00380710659898,0.00387314068458
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,200704,204800,52,0.00388175574798,0.00363847721823
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,204800,208896,51,0.00380710659898,0.00341803139769
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,208896,212992,34,0.00253807106599,0.00321094181298
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,212992,217088,34,0.00253807106599,0.0030163992447
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,217088,221184,37,0.00276201851299,0.00283364350194
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,221184,225280,30,0.00223947446999,0.00266196045174
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,225280,229376,31,0.00231412361899,0.00250067922863
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,229376,233472,24,0.00179157957599,0.0023491696131
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,233472,237568,34,0.00253807106599,0.00220683956899
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,237568,241664,22,0.00164228127799,0.00207313293009
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,241664,245760,22,0.00164228127799,0.00194752722681
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,245760,249856,31,0.00231412361899,0.00182953164465
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,249856,253952,23,0.00171693042699,0.00171868510628
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,253952,258048,17,0.00126903553299,0.00161455446981
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,258048,262144,21,0.00156763212899,0.00151673283632
16384,65536,262144,0,1073741824,1,13396,1073724599,17225,80152.6275754,80377.8086202,independent-uniform-hash,262144,262145,316,0.0235891310839,0.0235170730107
